P_ID,Property_name,Price,BHK,Transaction_type,Floor,Facing_Direction,Furnishing,Ownership,Society_name,Bathrooms,Car_Parking,Status,Agent_name,Buyers_from_agents,Owner_name,Address,Product_link,Area_in_sqr_feet,Price_per_sqr_feet,Reviews
P_24,Delhi Home 7,68 Lac,4,New Property,3,,Semi-Furnished,,Skyom Apartment,3,,Ready to Move, SKYOM INFRATECH,,,"Skyom Apartment,  Mahavir Enclave , New Delhi",https://www.magicbricks.com/skyom-apartment-mahavir-enclave-new-delhi-pdpid-4d4235333332303835,1200,"5,667 per sqft","Skyom Apartment offers 4 bedroom spacious apartments in the size of 1200 sq. feet at prime location of mahavir enclave. The builder floor is walking distace from the dashrathpuri metro staion. Built on an earthquake-resistant structure with high quality and exquisite tiles, this is where modern amenities meet country lifestyle. Features like humongous balconies where you can soak the sun, 24/7 power backup, well-lit parking area & round-the-clock CCTV surveillance make us everyone's preferred choice. Afterall, every apartment that you visit will come across as highly luxurious and extremely desirable."
P_25,Delhi Home 8,48 Lac,3,New Property,,,Furnished,,Mitya Homes,2,,Ready to Move, Mitya Infratech Pvt. Ltd.,,,"Mitya Homes,  Dwarka Mor , New Delhi",https://www.magicbricks.com/mitya-homes-dwarka-mor-new-delhi-pdpid-4d4235313232303033,920,"5,217 per sqft","Mitya Homes is one amongst the best & premium residential project of Mitya Infratech Pvt. Ltd. This project offers 1, 2, 3, 4, 5 & 6 BHK Builder Floor Flats with basic amenities for the comfort of residents. It is close to a market, malls, shopping complexes and many educational institutions."
P_26,Delhi Home 9,11 Cr,4,New Property,1,,Semi-Furnished,,Luxury Builder Floor,4,,Ready to Move, Ultra Reality Estates,, Ultra Reality Estates,"Luxury Builder Floor,  Greater Kailash 1 , New Delhi",https://www.magicbricks.com/luxury-builder-floor-greater-kailash-1-new-delhi-pdpid-4d4235333331333333,5400,"20,370 per sqft","Luxury Builder Floor in the heart of GK-1 is excellent, beautiful and well located floors which includes luxury inventories.Our projects are only 2 minutes away from Greater Kailash Metro Station, and it is only 30 TO 35 minutes away from NOIDA, GURUGRAM & CANNAUGHT PLACE."
P_27,Delhi Home 10,75 Lac,3,New Property,,,Semi-Furnished,,HCS Nature Plus,,1,Ready to Move, HCS Developer,,,"HCS Nature Plus,  Chhattarpur , New Delhi",https://www.magicbricks.com/hcs-nature-plus-chhattarpur-new-delhi-pdpid-4d4235333333383039,1400,"5,357 per sqft",Its a gated compound and this is on road property with huge balcony in the apartment and their will be 1 car parking and terrace garden is common for all the clients
P_28,Delhi Home 11,4.50 Cr,3,New Property,,,Semi-Furnished,,Premium Home,,1,Ready to Move, Jasmeet Singh  Bhatia,,,"Premium Home,  Greater Kailash 1 , New Delhi",https://www.magicbricks.com/premium-home-greater-kailash-1-new-delhi-pdpid-4d4235333235353631,1800,"25,000 per sqft","Premium Home Builder Floors located in the heart of Greater Kailash 1, New Delhi.Our projects are only 2 minutes away from nearest Metro Station and it is only 30 to 35 minutes away from NOIDA, GURUGRAM & CANNAUGHT PLACE."
P_29,Delhi Home 12,3.65 Cr,3,New Property,1,,Semi-Furnished,,Premium Luxury Home,3,,Ready to Move, Dream Homes,,,"Premium Luxury Home,  Greater Kailash 1 , New Delhi",https://www.magicbricks.com/premium-luxury-home-greater-kailash-1-new-delhi-pdpid-4d4235333333333531,1872,"19,498 per sqft","Premium Luxury Home provides you luxury builder floors in the heart of GK-1. Our projects are only 2 minutes away from Greater Kailash Metro Station, and it is only 30 to 35 minutes away from NOIDA, GURUGRAM & CANNAUGHT PLACE."
P_30,Delhi Home 13,5.15 Cr,5,Resale,4,North - West,Furnished,Freehold,,5,,Ready to Move, Property Point,,,"Janakpuri Block B1 , New Delhi",,4000,"10,300 per sqft",B1 block .park facing builder floor. 3rd floor with roof rights. with drawing and and one room with 2 toilets on roof with pantry and terrace garden. on 3rd floor 4bhk with 5 toilets .and servant room. drawing and dining.  big wardrobes zaqzi bath tubs.
P_31,Delhi Home 14,7 Cr,4,New Property,2,,Semi-Furnished,,Premium Builder Floors,5,,Ready to Move, House True Real Estate Agents,,,"Premium Builder Floors,  Defence Colony , New Delhi",https://www.magicbricks.com/premium-builder-floors-defence-colony-new-delhi-pdpid-4d4235333331333831,2100,"33,333 per sqft","It is A Beautiful Builder Floor Apartment with all the modern aminities .It has Modular Kitchen ,Lift and Car Parking.It is in the Heart of New Delhi and is near by all the Top schools ,Hospitals,Market and Metro"
P_32,Delhi Home 15,2.50 Cr,3,Resale,2,North - East,Semi-Furnished,Freehold,DDA Flats Munirka,3,1,Ready to Move, Vaishnao Properties & Builders,,,"DDA Flats Munirka,  Munirka , New Delhi",https://www.magicbricks.com/dda-flats-munirka-munirka-new-delhi-pdpid-4d4235303336333534,2075,"12,048 per sqft",3 BHK duplex with huge DD 2nd and 3rd. Big balconies. Recently renovated and extended very well maintained property. Exclusive deal with us. Contact us or visit us
P_33,Delhi Home 16,5.49 Cr,3,New Property,,,Semi-Furnished,,DLF One Midtown,,1,Under Construction, Colonel Properties,,,"DLF One Midtown,  Moti Nagar, Kirti Nagar , New Delhi",https://www.magicbricks.com/dlf-one-midtown-moti-nagar-new-delhi-pdpid-4d4235333234373937,2366,"23,204 per sqft","DLF One Midtown, a newly launched residential project offers you ultra-modern yet courteous luxury homes, nestled in the lap of scenery, and neighbouring a staggering 100 acres of lush greens. With 100 acres of greenery, DLF Midtown project is like a breath of fresh air in the concrete jungle. An iconic place set to become the new address for a fantastic luxury lifestyle.DLF One Midtown Delhi - an ocean of tranquillity, accessibility, convenience and value, located in the heart of West Delhi, Moti Nagar. Some of the biggest automobile companies like Audi, Renault, Tata Motors, Mercedes, MG Motors, and Skoda are your neighbours here. On offer are some of the choicest 2, 3, and 4 BHK Apartments executed by a best developer, a name passionate about quality & timely execution."
P_34,Delhi Home 17,2.20 Cr,3,New Property,,,Furnished,,DLF Capital Greens 1 and 2,,1,Ready to Move, Aggarwal Real Estate Pvt. Ltd.,,,"DLF Capital Greens 1 and 2,  Moti Nagar, Kirti Nagar , New Delhi",https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1500,"14,667 per sqft","Buying a home you love is a dream come true. Planned to give you the active lifestyle you wish for, DLF Capital Greens has dedicated well-designed spaces dedicated to fitness activities - from outdoor games to swimming and a whole lot more.DLF Capital Greens is taking the prosperous heritage ahead with contemporary and lavish apartments and building design. Surrounded by a healthy & green neighbourhood, this residential community delivers the residences that are eco-friendly and handy. With 23 towers on 33 acres, DLF Capital Greens divided into 3 phases, focus it's centred at elite buyers and investors who're looking a great buy in the Capital City of India. This residential community has luxury apartments with modern comforts and decorations."
P_35,HCO Real Estates,2.60 Cr,3,Resale,7,North - East,Semi-Furnished,Freehold,DLF Capital Greens 1 and 2,3,1,Ready to Move,,,,"DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar",https://www.magicbricks.com/dlf-capital-greens-1-and-2-moti-nagar-new-delhi-pdpid-4d4235303031303330,1100,"16,250 per sqft","Exclusive recreational facilities is provided.Suburban living in the hearts of New DelhiExcellent connectivity by road and metroFully air conditioned apartments with acres of greeneryClub, shopping complex and school is providedReserved basement parking is availableLandscaped garden and play ground is provided"
P_36,Sun Real Estate,75 Lac,3,New Property,3,East,Semi-Furnished,Power Of Attorney,DDA Freedom Fighter Enclave,3,1,Ready to Move,,17500,,"DDA Freedom Fighter Enclave, Saket",https://www.magicbricks.com/dda-freedom-fighter-enclave-saket-new-delhi-pdpid-4d4235303736323033,1300,"5,000 per sqft",good location
P_37,Kairali Associates,3 Cr,4,Resale,2,North - East,Unfurnished,Co-operative Society,,3,,Ready to Move,,3500,,Alaknanda,,1500,"18,750 per sqft","Residential Apartment available for sale in Narmada Apartment on second floor duplex 4 bedrooms 3 modern washrooms modular kitchen wellmaintained park and sun facing excellent location freehold walking distance from Greater Kailash-2, Alaknanda shoping complex all the amenities available in vicinity."
P_38,India Bhoomi 1,80 Lac,3,New Property,3,North - East,Semi-Furnished,Freehold,,3,1,Ready to Move,,5500,,"Kishangarh, Vasant Kunj",,1100,"6,154 per sqft","North facing, semi furnished flat with modular kitchen lift and car parking."
